Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,5,89,5,50014
2020,1,5,90,5,50014
2020,1,5,91,9,90001
2020,1,5,92,5,50014
2020,1,5,93,5,50014
2020,1,5,94,5,50014
2020,1,5,95,5,50014
2020,1,5,96,5,50014
2020,1,5,97,5,50014
2020,1,5,98,5,50014
2020,1,5,99,5,50014
2020,1,5,100,5,50004
2020,1,5,101,5,50014
2020,1,5,102,5,50014
2020,1,5,103,5,50014
2020,1,5,104,5,50014
2020,1,5,105,5,50014
2020,1,5,106,5,50014
2020,1,5,107,5,50014
2020,1,6,1,5,50014
2020,1,6,2,5,50014
2020,1,6,3,5,50014
2020,1,6,4,5,50014
2020,1,6,5,5,50014
2020,1,6,6,9,90001
2020,1,6,7,5,50014
2020,1,6,8,5,50004
2020,1,6,9,5,50004
2020,1,6,10,5,50014
2020,1,6,11,5,50014
2020,1,6,12,5,50014
2020,1,6,13,5,50014
2020,1,6,14,5,50014
2020,1,6,15,5,50014
2020,1,6,16,5,50014
2020,1,6,17,5,50014
2020,1,6,18,5,50014
2020,1,6,19,5,50014
2020,1,6,20,5,50014
2020,1,6,21,5,50014
2020,1,6,22,5,50014
2020,1,6,23,5,50014
2020,1,6,24,5,50014
2020,1,6,25,5,50014
2020,1,6,26,5,50014
2020,1,6,27,5,50014
2020,1,6,28,5,50014
2020,1,6,29,5,50014
2020,1,6,30,5,50014
2020,1,6,31,5,50014
2020,1,6,32,9,90001
2020,1,6,33,5,50014
2020,1,6,34,5,50014
2020,1,6,35,5,50014
2020,1,6,36,5,50014
2020,1,6,37,5,50014
2020,1,6,38,5,50014
2020,1,6,39,5,50014
2020,1,6,40,9,90001
2020,1,6,41,5,50014
2020,1,6,42,5,50014
2020,1,6,43,5,50014
2020,1,6,44,5,50004
2020,1,6,45,5,50004
2020,1,6,46,5,50014
2020,1,6,47,5,50014
2020,1,6,48,5,50014
2020,1,6,49,5,50014
2020,1,6,50,5,50014
2020,1,6,51,5,50004
2020,1,6,52,5,50014
2020,1,6,53,5,50014
2020,1,6,54,5,50014
2020,1,6,55,5,50014
2020,1,6,56,5,50014
2020,1,6,57,5,50014
2020,1,6,58,5,50014
2020,1,6,59,5,50014
2020,1,6,60,5,50014
2020,1,6,61,5,50014
2020,1,6,62,5,50014
2020,1,6,63,5,50014
2020,1,6,64,5,50014
2020,1,6,65,9,90001
2020,1,6,66,5,50014
2020,1,6,67,5,50014
2020,1,6,68,9,90001
2020,1,6,69,5,50014
2020,1,6,70,5,50014
2020,1,6,71,5,50004
2020,1,6,72,5,50014
2020,1,6,73,5,50014
2020,1,6,74,5,50014
2020,1,6,75,5,50014
2020,1,6,76,5,50014
2020,1,6,77,5,50014
2020,1,6,78,5,50014
2020,1,6,79,5,50014
2020,1,6,80,5,50014
2020,1,6,81,9,90001
2020,1,6,82,5,50014
2020,1,6,83,5,50014
2020,1,6,84,5,50014
2020,1,6,85,5,50014
2020,1,6,86,5,50014
2020,1,6,87,5,50014
2020,1,6,88,5,50014
2020,1,6,89,5,50014
2020,1,6,90,5,50014
2020,1,6,91,5,50014
2020,1,6,92,5,50014
2020,1,6,93,9,90001
2020,1,6,94,5,50014
2020,1,6,95,5,50014
2020,1,6,96,5,50014
2020,1,6,97,5,50004
2020,1,6,98,5,50014
2020,1,6,99,5,50014
2020,1,6,100,5,50014
2020,1,6,101,5,50014
2020,1,6,102,5,50014
2020,1,6,103,5,50014
2020,1,6,104,5,50014
2020,1,6,105,5,50014
2020,1,6,106,9,90001
2020,1,6,107,5,50014
2020,1,6,108,5,50014
2020,1,8,1,5,50014
2020,1,8,2,9,90001
2020,1,8,3,5,50014
2020,1,8,4,9,90001
2020,1,8,5,5,50014
2020,1,8,6,5,50014
2020,1,8,7,5,50014
2020,1,8,8,5,50014
2020,1,8,9,5,50014
2020,1,8,10,5,50014
2020,1,8,11,5,50014
2020,1,8,12,5,50014
2020,1,8,13,5,50014
2020,1,8,14,5,50014
2020,1,8,15,9,90001
2020,1,8,16,5,50004
2020,1,8,17,5,50014
2020,1,8,18,5,50014
2020,1,8,19,5,50014
2020,1,8,20,5,50014
2020,1,8,21,5,50014
2020,1,8,22,5,50004
2020,1,8,23,5,50014
2020,1,8,24,9,90001
2020,1,8,25,5,50014
2020,1,8,26,5,50014
2020,1,8,27,5,50014
2020,1,8,28,5,50014
2020,1,8,29,5,50014
2020,1,8,30,5,50014
2020,1,8,31,5,50014
2020,1,8,32,5,50014
2020,1,8,33,5,50014
2020,1,8,34,5,50014
2020,1,8,35,9,90001
2020,1,8,36,5,50014
2020,1,8,37,5,50014
2020,1,8,38,5,50014
2020,1,8,39,5,50014
2020,1,8,40,5,50014
2020,1,8,41,5,50004
2020,1,8,42,5,50014
2020,1,8,43,5,50014
2020,1,8,44,5,50014
2020,1,8,45,5,50014
2020,1,8,46,5,50014
2020,1,8,47,5,50014
2020,1,8,48,5,50014
2020,1,8,49,5,50014
2020,1,8,50,5,50014
2020,1,8,51,5,50014
2020,1,8,52,5,50014
2020,1,8,53,5,50014
2020,1,8,54,5,50004
2020,1,8,55,5,50014
2020,1,8,56,5,50014
2020,1,8,57,5,50014
2020,1,8,58,5,50014
2020,1,8,59,5,50014
2020,1,8,60,5,50014
2020,1,8,61,5,50014
2020,1,8,62,5,50014
2020,1,8,63,9,90001
2020,1,8,64,5,50014
2020,1,8,65,5,50014
2020,1,8,66,5,50004
2020,1,8,67,5,50014
2020,1,8,68,5,50004
2020,1,8,69,5,50014
2020,1,8,70,5,50014
2020,1,8,71,5,50004
2020,1,8,72,5,50014
2020,1,8,73,5,50014
2020,1,8,74,5,50014
2020,1,8,75,9,90001
2020,1,8,76,5,50014
2020,1,8,77,5,50014
2020,1,8,78,5,50014
2020,1,8,79,5,50004
2020,1,8,80,5,50014
2020,1,8,81,5,50014
2020,1,8,82,9,90001
2020,1,8,83,5,50014
2020,1,8,84,5,50014
2020,1,8,85,5,50014
2020,1,8,86,5,50014
2020,1,8,87,5,50014
2020,1,8,88,5,50014
2020,1,8,89,5,50014
2020,1,8,90,5,50014
2020,1,8,91,5,50014
2020,1,8,92,5,50014
2020,1,8,93,5,50014
2020,1,8,94,5,50014
